"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"288","L","BE","1","12,23 0208",9,0.993833974175037,0.0914,0.181224284131115
"289","L","BE","1","12,23 0208",9,1.03156190748144,0.0872,0.197163973142477
"290","L","BE","1","12,23 0208",9,1.53247071854587,0.0967,0.264128010780053
"291","L","BE","1","12,23 0208",9,1.47432783012235,0.0894,0.274856045884106
"292","L","BE","1","12,23 0208",9,1.52938010910617,0.087,0.292984695231067
"293","L","BE","1","12,23 0208",15,0.633645595082884,0.07,0.150867998829258
"294","L","BE","1","12,23 0208",15,0.752228320847798,0.0672,0.186564563702331
"295","L","BE","1","12,23 0208",15,0.889943798943726,0.0894,0.16591047705886
"296","L","BE","1","12,23 0208",15,1.42221618287373,0.0733,0.323377940626132
"297","L","BE","1","12,23 0208",15,1.04221496475691,0.064,0.271410147072113
"298","L","BE","1","12,23 0208",15,0.758899450697884,0.0677,0.186829012973383
"299","L","BE","1","12,23 0208",14,0.842606462035541,0.0833,0.168588727898268
"300","L","BE","1","12,23 0208",14,1.00673473477055,0.0799,0.209998901704329
"301","L","BE","1","12,23 0208",14,1.04883508334076,0.0704,0.248303760260597
"302","L","BE","1","12,23 0208",14,1.18967690941385,0.0712,0.278482422615602
"303","L","BE","1","12,23 0208",13,0.651842399575297,0.0694,0.156542363010398
"304","L","BE","1","12,23 0208",13,0.884009309706427,0.0966,0.152520584835477
"305","L","BE","1","12,23 0208",13,0.53190332103321,0.0625,0.141840885608856
"306","L","BE","1","12,23 0208",13,1.47806836019622,0.0769,0.320344247983575
"307","L","BE","1","12,23 0208",13,1.10744367856208,0.0833,0.22157736665908
"308","L","BE","1","12,23 0208",13,0.741086697965572,0.0747,0.165347322169918
"309","L","BE","1","12,23 0208",13,1.02802683307332,0.0755,0.226937490744663
"310","L","BE","1","12,23 0208",13,0.978673238950276,0.061,0.26739705982248
"311","L","BE","1","12,23 0208",13,0.828302554838709,0.0834,0.165528088496944
"312","L","BE","1","12,23 0208",13,0.951846420303525,0.0805,0.197069652236755
"313","L","BE","1","12,23 0208",13,1.21557488038277,0.081,0.250118288144604
"314","L","BE","1","12,23 0208",13,0.762103481740019,0.0744,0.170722106124556
"315","L","BE","1","12,23 0208",18,1.00025940490691,0.066,0.252590758814876
"316","L","BE","1","12,23 0208",18,0.79614383111265,0.0676,0.196287926802921
"317","L","BE","1","12,23 0208",18,1.43361804097091,0.0871,0.274324156328149
"318","L","BE","1","12,23 0208",18,1.21276908344733,0.0582,0.347299279337724
"319","L","BE","1","12,23 0208",18,1.17429576746558,0.0608,0.321901252046485
"320","L","BE","1","12,23 0208",17,1.05735874303092,0.0766,0.230060649049373
"321","L","BE","1","12,23 0208",17,1.47396937027708,0.0808,0.304036586278275
"322","L","BE","1","12,23 0208",16,0.687392261507671,0.0692,0.165556903060614
"323","L","BE","1","12,23 0208",16,0.865496515101229,0.0902,0.159921750757803
"324","L","BE","1","12,23 0208",16,0.918163987456675,0.0662,0.231159110638639
"325","L","BE","1","12,23 0208",16,0.934381152520112,0.0823,0.189222590627807
"326","L","BE","1","12,23 0208",16,0.718150636630754,0.0725,0.165092100374886
"327","L","BE","1","12,23 0208",16,1.04487648109073,0.0732,0.237904481122662
"328","L","BE","1","12,23 0208",16,1.01532844688408,0.0752,0.225028467837784
"329","L","BE","1","12,23 0208",16,1.0951843639859,0.0732,0.24935891711883
"330","L","BE","1","12,23 0208",16,0.843955392703521,0.0762,0.184592168132879
"331","L","BE","1","12,23 0208",22,0.659756794657758,0.0702,0.156637415635745
"332","L","BE","1","12,23 0208",22,0.604304768233921,0.0622,0.161925179055177
"333","L","BE","1","12,23 0208",22,1.34269406513472,0.059,0.379292108795119
"334","L","BE","1","12,23 0208",22,0.624037407711233,0.0602,0.172767831592257
"335","L","BE","1","12,23 0208",21,1.04209322033897,0.0747,0.232506296371926
"336","L","BE","1","12,23 0208",20,1.53551929995137,0.0683,0.374699682760217
"337","L","BE","1","12,23 0208",20,1.26190670103092,0.0815,0.258058630067672
"338","L","BE","1","12,23 0208",20,0.587568092263329,0.0638,0.153492187111633
"339","L","BE","1","12,23 0208",20,0.935472428639761,0.0759,0.205417748932754
"340","L","BE","1","12,23 0208",20,0.65651256536206,0.0666,0.164292433774289
"341","L","BE","1","12,23 0208",20,0.914811104100937,0.0698,0.218436271275295
"342","L","BE","1","12,23 0208",20,0.917974011299425,0.0798,0.191723895425945
"343","L","BE","1","12,23 0208",20,1.17776214865708,0.0757,0.259304744310232
"344","L","BE","1","12,23 0208",20,0.558160931966442,0.0714,0.130289666658833
"345","L","BE","1","12,23 0208",25,0.984512329969274,0.0691,0.237460764584967
"346","L","BE","1","12,23 0208",25,0.997321648136027,0.0625,0.26595243950294
"347","L","BE","1","12,23 0208",25,0.890523976608177,0.0624,0.237853626230816
"348","L","BE","1","12,23 0208",24,1.85236244091102,0.0768,0.401988376933816
"349","L","BE","1","12,23 0208",23,0.47871525351512,0.0676,0.118026443174339
"350","L","BE","1","12,23 0208",23,1.30300631222197,0.0804,0.270109102865251
"351","L","BE","1","12,23 0208",23,0.893434271314564,0.0629,0.236734041153833
"352","L","BE","1","12,23 0208",23,1.15422595993321,0.0749,0.256837107239254
"353","L","BE","1","12,23 0208",23,0.785466141732276,0.0613,0.213557950443794
"354","L","BE","1","12,23 0208",23,0.622356227347605,0.069,0.150327591146764
"355","L","BE","1","12,23 0208",23,0.939811504605929,0.0813,0.192663285077066
"356","L","BE","1","12,23 0208",23,1.13147868185516,0.0745,0.253127221891534
