"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"154","L","UZ",1,"12,23 1228",4,1.95546850288764,0.0448,0.727480841848082
"155","L","UZ",1,"12,23 1228",2,2.88875975359349,0.0592,0.813276957655824
"156","L","UZ",1,"12,23 1228",2,4.10285537924015,0.0822,0.831884707875131
"157","L","UZ",1,"12,23 1228",2,4.04789123711349,0.0937,0.720009113680805
"158","L","UZ",1,"12,23 1228",2,2.54081896918932,0.0582,0.727611388656735
"159","L","UZ",1,"12,23 1228",2,3.20135810544128,0.0794,0.671989526750899
"160","L","UZ",1,"12,23 1228",2,4.40503741610747,0.0819,0.896426010603882
"161","L","UZ",1,"12,23 1228",2,3.70117012609125,0.0781,0.789835707659252
"162","L","UZ",1,"12,23 1228",2,3.59390651277832,0.0431,1.38975503201018
"163","L","UZ",1,"12,23 1228",2,3.9004183081325,0.0779,0.834492577692019
"164","L","UZ",1,"12,23 1228",2,3.76375478119944,0.0755,0.830850945077138
"165","L","UZ",1,"12,23 1228",2,2.76021226566691,0.076,0.605309707383094
"166","L","UZ",2,"16,23 1228",6,3.7370121722396,0.1381,0.451003158609654
"167","L","UZ",2,"16,23 1228",6,3.34501724056044,0.1274,0.437600371606547
"168","L","UZ",2,"16,23 1228",6,3.63054128138935,0.0968,0.6250931958315
"169","L","UZ",2,"16,23 1228",6,2.83383122831367,0.0861,0.548554244737452
"170","L","UZ",2,"16,23 1228",6,2.53618680714614,0.091,0.464503078231893
"171","L","UZ",2,"16,23 1228",6,2.48965388272584,0.0946,0.438628238676152
"172","L","UZ",2,"16,23 1228",6,3.23630481738742,0.1068,0.505041326059211
"173","L","UZ",2,"16,23 1228",6,3.19330858283434,0.1321,0.402890308205191
"174","L","UZ",2,"16,23 1228",6,3.50619929762952,0.1206,0.484549377781857
"175","L","UZ",2,"16,23 1228",6,2.68174213153898,0.0935,0.478028900452581
"176","L","UZ",2,"16,23 1228",6,3.89476208897488,0.1198,0.541842249440022
"177","L","UZ",2,"16,23 1228",6,2.31783137836123,0.0926,0.417176274003101
"178","L","UZ",2,"16,23 1228",6,2.9473011957206,0.0932,0.527056723126001
"179","L","UZ",2,"16,23 1228",6,3.53900714582471,0.1196,0.493172679184045
"180","L","UZ",2,"16,23 1228",6,3.21462983970409,0.1172,0.457143037500582
"181","L","UZ",2,"16,23 1228",6,3.52599015259413,0.1272,0.462000806157512
"182","L","UZ",2,"16,23 1228",6,2.60916633105117,0.0945,0.46017042875682
"183","L","UZ",2,"16,23 1228",6,2.86519776536316,0.0873,0.547002246155623
"184","L","UZ",2,"16,23 1228",6,2.7850453754941,0.1207,0.384568541217081
"185","L","UZ",2,"16,23 1228",6,2.6181745155608,0.0914,0.477420590000146
"186","L","UZ",2,"16,23 1228",6,3.19573571290013,0.1258,0.423388409234251
"187","L","UZ",2,"16,23 1228",6,2.16165579250723,0.0862,0.417953556169225
"188","L","UZ",2,"16,23 1228",6,2.63997830637491,0.0838,0.525055351307659
"189","L","UZ",2,"16,23 1228",6,5.08420878747884,0.12,0.706140109372061
"190","L","UZ",1,"12,23 1228",6,4.86754366606176,0.1002,0.809638001673613
"191","L","UZ",1,"12,23 1228",6,5.69267152865105,0.1129,0.84037076006068
"192","L","UZ",1,"12,23 1228",6,5.43985559105438,0.1053,0.861009115393223
"193","L","UZ",1,"12,23 1228",6,4.93051152025257,0.1027,0.80014792603904
"194","L","UZ",1,"12,23 1228",6,5.65934672216449,0.1221,0.772501600077053
"195","L","UZ",1,"12,23 1228",6,5.16269964034944,0.1049,0.82025733084675
"196","L","UZ",1,"12,23 1228",5,4.52989864590392,0.095,0.794719060684898
"197","L","UZ",1,"12,23 1228",5,3.91601225514822,0.1018,0.641128398026886
"198","L","UZ",1,"12,23 1228",5,4.91671432360749,0.1109,0.738911079592349
"199","L","UZ",1,"12,23 1228",5,4.23193555992147,0.1255,0.562010034518124
"200","L","UZ",1,"12,23 1228",5,5.58504315124016,0.1146,0.812251767196067
"201","L","UZ",1,"12,23 1228",5,4.6712912145944,0.1156,0.673484892530911
"202","L","UZ",1,"12,23 1228",5,4.93223247863255,0.1057,0.777709315457672
"203","L","UZ",1,"12,23 1228",5,4.77732561414496,0.0758,1.05042339800901
"204","L","UZ",1,"12,23 1228",3,4.77765800959611,0.0682,1.1675606084057
"205","L","UZ",1,"12,23 1228",3,4.84529531680448,0.0964,0.837706659198562
"206","L","UZ",1,"12,23 1228",3,4.60179473684218,0.1109,0.691583218641746
"207","L","UZ",1,"12,23 1228",3,4.10050127188395,0.0862,0.792827005391328
"208","L","UZ",1,"12,23 1228",3,4.36298676143943,0.0911,0.798204676443364
"209","L","UZ",1,"12,23 1228",3,3.64366972584671,0.0973,0.624129792025815
"210","L","UZ",1,"12,23 1228",3,4.52701557093433,0.0933,0.80868445354311
"211","L","UZ",1,"12,23 1228",3,4.26835511136501,0.0652,1.09109281987858
"212","L","UZ",1,"12,23 1228",3,4.23160814249371,0.0898,0.785376418428677
"213","L","UZ",1,"12,23 1228",3,4.16548929021427,0.0823,0.843557976957122
"214","L","UZ",1,"12,23 1228",3,3.09593608876566,0.0883,0.584359397653012
"215","L","UZ",2,"16,23 1228",7,2.96612184368735,0.1244,0.397390386346108
"216","L","UZ",2,"16,23 1228",7,2.75466613861383,0.1228,0.373868911321096
